,instance_id,original_length,terminated_at_step,solved,tried,percentage
248,5248,23,23,1,1,0.0013245033112582781
249,5249,23,16,0,1,0.0
250,5250,23,23,1,1,0.0013245033112582781
251,5251,23,19,0,1,0.0
252,5252,23,23,1,1,0.0013245033112582781
253,5253,23,23,1,1,0.0013245033112582781
254,5254,23,21,0,1,0.0
255,5255,23,23,1,1,0.0013245033112582781
256,5256,23,23,1,1,0.0013245033112582781
257,5257,23,23,1,1,0.0013245033112582781
258,5258,23,23,1,1,0.0013245033112582781
259,5259,23,23,1,1,0.0013245033112582781
260,5260,23,20,0,1,0.0
261,5261,23,23,1,1,0.0013245033112582781
262,5262,23,23,1,1,0.0013245033112582781
263,5263,23,23,1,1,0.0013245033112582781
264,5264,23,23,1,1,0.0013245033112582781
265,5265,23,23,1,1,0.0013245033112582781
266,5266,23,11,0,1,0.0
267,5267,23,23,1,1,0.0013245033112582781
268,5268,23,23,1,1,0.0013245033112582781
269,5269,23,23,1,1,0.0013245033112582781
270,5270,23,23,1,1,0.0013245033112582781
271,5271,23,23,1,1,0.0013245033112582781
272,5272,23,23,1,1,0.0013245033112582781
273,5273,23,23,1,1,0.0013245033112582781
274,5274,23,23,1,1,0.0013245033112582781
275,5275,23,23,1,1,0.0013245033112582781
276,5276,23,23,1,1,0.0013245033112582781
277,5277,23,17,0,1,0.0
278,5278,23,12,0,1,0.0
279,5279,23,20,0,1,0.0
280,5280,23,23,1,1,0.0013245033112582781
281,5281,23,17,0,1,0.0
282,5282,23,23,1,1,0.0013245033112582781
283,5283,23,23,1,1,0.0013245033112582781
284,5284,23,23,1,1,0.0013245033112582781
285,5285,23,23,1,1,0.0013245033112582781
286,5286,23,23,1,1,0.0013245033112582781
287,5287,23,12,0,1,0.0
288,5288,23,23,1,1,0.0013245033112582781
289,5289,23,23,1,1,0.0013245033112582781
290,5290,23,23,1,1,0.0013245033112582781
291,5291,23,23,1,1,0.0013245033112582781
292,5292,23,23,1,1,0.0013245033112582781
293,5293,23,23,1,1,0.0013245033112582781
294,5294,23,14,0,1,0.0
295,5295,23,17,0,1,0.0
296,5296,23,23,1,1,0.0013245033112582781
297,5297,23,23,1,1,0.0013245033112582781
298,5298,23,17,0,1,0.0
299,5299,23,13,0,1,0.0
300,5300,23,13,0,1,0.0
301,5301,23,23,1,1,0.0013245033112582781
302,5302,23,17,0,1,0.0
303,5303,23,23,1,1,0.0013245033112582781
304,5304,23,23,1,1,0.0013245033112582781
305,5305,23,23,1,1,0.0013245033112582781
306,5306,23,23,1,1,0.0013245033112582781
307,5307,23,17,0,1,0.0
308,5308,23,12,0,1,0.0
309,5309,23,23,1,1,0.0013245033112582781
310,5310,23,23,1,1,0.0013245033112582781
311,5311,23,18,0,1,0.0
312,5312,23,23,1,1,0.0013245033112582781
313,5313,23,23,1,1,0.0013245033112582781
314,5314,23,23,1,1,0.0013245033112582781
315,5315,23,23,1,1,0.0013245033112582781
316,5316,23,23,1,1,0.0013245033112582781
317,5317,23,23,1,1,0.0013245033112582781
318,5318,23,22,0,1,0.0
319,5319,23,23,1,1,0.0013245033112582781
320,5320,23,23,1,1,0.0013245033112582781
321,5321,23,23,1,1,0.0013245033112582781
322,5322,23,23,1,1,0.0013245033112582781
323,5323,23,23,1,1,0.0013245033112582781
324,5324,23,23,1,1,0.0013245033112582781
325,5325,23,23,1,1,0.0013245033112582781
326,5326,23,23,1,1,0.0013245033112582781
327,5327,23,23,1,1,0.0013245033112582781
328,5328,23,23,1,1,0.0013245033112582781
329,5329,23,23,1,1,0.0013245033112582781
330,5330,23,18,0,1,0.0
331,5331,23,23,1,1,0.0013245033112582781
332,5332,23,23,1,1,0.0013245033112582781
333,5333,23,23,1,1,0.0013245033112582781
334,5334,23,23,1,1,0.0013245033112582781
335,5335,23,23,1,1,0.0013245033112582781
336,5336,23,23,1,1,0.0013245033112582781
337,5337,23,23,1,1,0.0013245033112582781
338,5338,23,23,1,1,0.0013245033112582781
339,5339,23,23,1,1,0.0013245033112582781
340,5340,23,23,1,1,0.0013245033112582781
341,5341,23,23,1,1,0.0013245033112582781
342,5342,23,23,1,1,0.0013245033112582781
343,5343,23,23,1,1,0.0013245033112582781
344,5344,23,23,1,1,0.0013245033112582781
345,5345,23,23,1,1,0.0013245033112582781
346,5346,23,18,0,1,0.0
347,5347,23,23,1,1,0.0013245033112582781
348,5348,23,23,1,1,0.0013245033112582781
349,5349,23,23,1,1,0.0013245033112582781
350,5350,23,23,1,1,0.0013245033112582781
351,5351,23,23,1,1,0.0013245033112582781
352,5352,23,23,1,1,0.0013245033112582781
353,5353,23,23,1,1,0.0013245033112582781
354,5354,23,23,1,1,0.0013245033112582781
355,5355,23,16,0,1,0.0
356,5356,23,23,1,1,0.0013245033112582781
357,5357,23,23,1,1,0.0013245033112582781
358,5358,23,18,0,1,0.0
359,5359,23,23,1,1,0.0013245033112582781
360,5360,23,23,1,1,0.0013245033112582781
361,5361,23,23,1,1,0.0013245033112582781
362,5362,23,23,1,1,0.0013245033112582781
363,5363,23,20,0,1,0.0
364,5364,23,23,1,1,0.0013245033112582781
365,5365,23,23,1,1,0.0013245033112582781
366,5366,23,12,0,1,0.0
367,5367,23,23,1,1,0.0013245033112582781
368,5368,23,23,1,1,0.0013245033112582781
369,5369,23,23,1,1,0.0013245033112582781
370,5370,23,23,1,1,0.0013245033112582781
371,5371,23,23,1,1,0.0013245033112582781
372,5372,23,20,0,1,0.0
373,5373,23,19,0,1,0.0
374,5374,23,23,1,1,0.0013245033112582781
375,5375,23,23,1,1,0.0013245033112582781
376,5376,23,23,1,1,0.0013245033112582781
377,5377,23,23,1,1,0.0013245033112582781
378,5378,23,23,1,1,0.0013245033112582781
379,5379,23,23,1,1,0.0013245033112582781
380,5380,23,23,1,1,0.0013245033112582781
381,5381,23,23,1,1,0.0013245033112582781
382,5382,23,13,0,1,0.0
383,5383,23,23,1,1,0.0013245033112582781
384,5384,23,23,1,1,0.0013245033112582781
385,5385,23,23,1,1,0.0013245033112582781
386,5386,23,23,1,1,0.0013245033112582781
387,5387,23,23,1,1,0.0013245033112582781
388,5388,23,23,1,1,0.0013245033112582781
389,5389,23,23,1,1,0.0013245033112582781
390,5390,23,23,1,1,0.0013245033112582781
391,5391,23,23,1,1,0.0013245033112582781
392,5392,23,23,1,1,0.0013245033112582781
393,5393,23,23,1,1,0.0013245033112582781
394,5394,23,23,1,1,0.0013245033112582781
395,5395,23,17,0,1,0.0
396,5396,23,21,0,1,0.0
397,5397,23,23,1,1,0.0013245033112582781
398,5398,23,23,1,1,0.0013245033112582781
399,5399,23,23,1,1,0.0013245033112582781
400,5400,23,23,1,1,0.0013245033112582781
401,5401,23,23,1,1,0.0013245033112582781
402,5402,23,23,1,1,0.0013245033112582781
403,5403,23,23,1,1,0.0013245033112582781
404,5404,23,23,1,1,0.0013245033112582781
405,5405,23,11,0,1,0.0
406,5406,23,23,1,1,0.0013245033112582781
407,5407,23,21,0,1,0.0
408,5408,23,23,1,1,0.0013245033112582781
409,5409,23,23,1,1,0.0013245033112582781
410,5410,23,23,1,1,0.0013245033112582781
411,5411,23,23,1,1,0.0013245033112582781
412,5412,23,23,1,1,0.0013245033112582781
413,5413,23,23,1,1,0.0013245033112582781
414,5414,23,23,1,1,0.0013245033112582781
415,5415,23,21,0,1,0.0
416,5416,23,14,0,1,0.0
417,5417,23,23,1,1,0.0013245033112582781
418,5418,23,23,1,1,0.0013245033112582781
419,5419,23,23,1,1,0.0013245033112582781
420,5420,23,23,1,1,0.0013245033112582781
421,5421,23,18,0,1,0.0
422,5422,23,23,1,1,0.0013245033112582781
423,5423,23,23,1,1,0.0013245033112582781
424,5424,23,13,0,1,0.0
425,5425,23,11,0,1,0.0
426,5426,23,23,1,1,0.0013245033112582781
427,5427,23,23,1,1,0.0013245033112582781
428,5428,23,23,1,1,0.0013245033112582781
429,5429,23,23,1,1,0.0013245033112582781
430,5430,23,23,1,1,0.0013245033112582781
431,5431,23,23,1,1,0.0013245033112582781
432,5432,23,23,1,1,0.0013245033112582781
433,5433,23,23,1,1,0.0013245033112582781
434,5434,23,23,1,1,0.0013245033112582781
435,5435,23,23,1,1,0.0013245033112582781
436,5436,23,16,0,1,0.0
437,5437,23,23,1,1,0.0013245033112582781
438,5438,23,23,1,1,0.0013245033112582781
439,5439,23,23,1,1,0.0013245033112582781
440,5440,23,23,1,1,0.0013245033112582781
441,5441,23,23,1,1,0.0013245033112582781
442,5442,23,23,1,1,0.0013245033112582781
443,5443,23,23,1,1,0.0013245033112582781
444,5444,23,23,1,1,0.0013245033112582781
445,5445,23,23,1,1,0.0013245033112582781
446,5446,23,23,1,1,0.0013245033112582781
447,5447,23,23,1,1,0.0013245033112582781
448,5448,23,23,1,1,0.0013245033112582781
449,5449,23,23,1,1,0.0013245033112582781
450,5450,23,16,0,1,0.0
451,5451,23,23,1,1,0.0013245033112582781
452,5452,23,23,1,1,0.0013245033112582781
453,5453,23,23,1,1,0.0013245033112582781
454,5454,23,23,1,1,0.0013245033112582781
455,5455,23,23,1,1,0.0013245033112582781
456,5456,23,23,1,1,0.0013245033112582781
457,5457,23,23,1,1,0.0013245033112582781
458,5458,23,23,1,1,0.0013245033112582781
459,5459,23,23,1,1,0.0013245033112582781
460,5460,23,23,1,1,0.0013245033112582781
461,5461,23,23,1,1,0.0013245033112582781
462,5462,23,23,1,1,0.0013245033112582781
463,5463,23,16,0,1,0.0
464,5464,23,23,1,1,0.0013245033112582781
465,5465,23,23,1,1,0.0013245033112582781
466,5466,23,23,1,1,0.0013245033112582781
467,5467,23,23,1,1,0.0013245033112582781
468,5468,23,12,0,1,0.0
469,5469,23,23,1,1,0.0013245033112582781
470,5470,23,23,1,1,0.0013245033112582781
471,5471,23,16,0,1,0.0
472,5472,23,23,1,1,0.0013245033112582781
473,5473,23,23,1,1,0.0013245033112582781
474,5474,23,23,1,1,0.0013245033112582781
475,5475,23,22,0,1,0.0
476,5476,23,23,1,1,0.0013245033112582781
477,5477,23,23,1,1,0.0013245033112582781
478,5478,23,23,1,1,0.0013245033112582781
479,5479,23,23,1,1,0.0013245033112582781
480,5480,23,23,1,1,0.0013245033112582781
481,5481,23,23,1,1,0.0013245033112582781
482,5482,23,23,1,1,0.0013245033112582781
483,5483,23,23,1,1,0.0013245033112582781
484,5484,23,23,1,1,0.0013245033112582781
485,5485,23,23,1,1,0.0013245033112582781
486,5486,23,18,0,1,0.0
487,5487,23,23,1,1,0.0013245033112582781
488,5488,23,18,0,1,0.0
489,5489,23,23,1,1,0.0013245033112582781
490,5490,23,23,1,1,0.0013245033112582781
491,5491,23,23,1,1,0.0013245033112582781
492,5492,23,23,1,1,0.0013245033112582781
493,5493,23,23,1,1,0.0013245033112582781
494,5494,23,23,1,1,0.0013245033112582781
495,5495,23,23,1,1,0.0013245033112582781
496,5496,23,23,1,1,0.0013245033112582781
497,5497,23,23,1,1,0.0013245033112582781
498,5498,23,23,1,1,0.0013245033112582781
499,5499,23,23,1,1,0.0013245033112582781
500,5500,23,23,1,1,0.0013245033112582781
501,5501,23,23,1,1,0.0013245033112582781
502,5502,23,23,1,1,0.0013245033112582781
503,5503,23,23,1,1,0.0013245033112582781
504,5504,23,23,1,1,0.0013245033112582781
505,5505,23,23,1,1,0.0013245033112582781
