,instance_id,original_length,terminated_at_step,solved,tried,percentage
223,5223,23,23,1,1,0.0013245033112582781
224,5224,23,22,0,1,0.0
225,5225,23,17,0,1,0.0
226,5226,23,23,1,1,0.0013245033112582781
227,5227,23,18,0,1,0.0
228,5228,23,23,1,1,0.0013245033112582781
229,5229,23,12,0,1,0.0
230,5230,23,11,0,1,0.0
231,5231,23,23,1,1,0.0013245033112582781
232,5232,23,23,1,1,0.0013245033112582781
233,5233,23,23,1,1,0.0013245033112582781
234,5234,23,16,0,1,0.0
235,5235,23,17,0,1,0.0
236,5236,23,23,1,1,0.0013245033112582781
237,5237,23,20,0,1,0.0
238,5238,23,23,1,1,0.0013245033112582781
239,5239,23,22,0,1,0.0
240,5240,23,21,0,1,0.0
241,5241,23,16,0,1,0.0
242,5242,23,21,0,1,0.0
243,5243,23,17,0,1,0.0
244,5244,23,21,0,1,0.0
245,5245,23,22,0,1,0.0
246,5246,23,23,1,1,0.0013245033112582781
247,5247,23,23,1,1,0.0013245033112582781
248,5248,23,23,1,1,0.0013245033112582781
249,5249,23,16,0,1,0.0
250,5250,23,17,0,1,0.0
251,5251,23,19,0,1,0.0
252,5252,23,17,0,1,0.0
253,5253,23,22,0,1,0.0
254,5254,23,21,0,1,0.0
255,5255,23,23,1,1,0.0013245033112582781
256,5256,23,22,0,1,0.0
257,5257,23,16,0,1,0.0
258,5258,23,15,0,1,0.0
259,5259,23,23,1,1,0.0013245033112582781
260,5260,23,20,0,1,0.0
261,5261,23,21,0,1,0.0
262,5262,23,14,0,1,0.0
263,5263,23,9,0,1,0.0
264,5264,23,23,1,1,0.0013245033112582781
265,5265,23,23,1,1,0.0013245033112582781
266,5266,23,11,0,1,0.0
267,5267,23,23,1,1,0.0013245033112582781
268,5268,23,20,0,1,0.0
269,5269,23,23,1,1,0.0013245033112582781
270,5270,23,23,1,1,0.0013245033112582781
271,5271,23,23,1,1,0.0013245033112582781
272,5272,23,23,1,1,0.0013245033112582781
273,5273,23,23,1,1,0.0013245033112582781
274,5274,23,23,1,1,0.0013245033112582781
275,5275,23,22,0,1,0.0
276,5276,23,14,0,1,0.0
277,5277,23,14,0,1,0.0
278,5278,23,12,0,1,0.0
279,5279,23,20,0,1,0.0
280,5280,23,17,0,1,0.0
281,5281,23,17,0,1,0.0
282,5282,23,19,0,1,0.0
283,5283,23,23,1,1,0.0013245033112582781
284,5284,23,18,0,1,0.0
285,5285,23,18,0,1,0.0
286,5286,23,23,1,1,0.0013245033112582781
287,5287,23,12,0,1,0.0
