,action,instance_id,step,type,strtype
193,8,4021,4,['26'],['26']
194,4,4021,5,"['24', '24']","['24', '24']"
195,6,4021,6,"['14', '14']","['14', '14']"
196,5,4021,7,"['24', '24']","['24', '24']"
197,7,4021,8,['24'],['24']
198,6,4022,0,['14'],['14']
199,5,4022,1,"['24', '24']","['24', '24']"
200,7,4022,2,"['24', '24']","['24', '24']"
201,8,4022,3,"['24', '26']","['24', '26']"
202,1,4022,4,"['16', '14']","['16', '14']"
203,8,4022,5,['26'],['26']
204,3,4022,6,['16'],['16']
205,4,4022,7,"['14', '14']","['14', '14']"
206,7,4022,8,['24'],['24']
207,1,4023,0,"['16', '14']","['16', '14']"
208,5,4023,1,"['24', '24']","['24', '24']"
209,2,4023,2,['26'],['26']
210,4,4023,3,['14'],['14']
211,8,4023,4,"['26', '24']","['26', '24']"
212,6,4023,5,"['14', '14']","['14', '14']"
213,3,4023,6,['16'],['16']
214,4,4023,7,['24'],['24']
215,7,4023,8,"['24', '24']","['24', '24']"
216,5,4024,0,"['24', '24']","['24', '24']"
217,6,4024,1,"['14', '14']","['14', '14']"
218,8,4024,2,['26'],['26']
219,3,4024,3,['16'],['16']
220,4,4024,4,"['24', '24']","['24', '24']"
221,8,4024,5,"['24', '26']","['24', '26']"
222,7,4024,6,['24'],['24']
223,6,4024,7,['14'],['14']
224,1,4024,8,"['16', '14']","['16', '14']"
225,1,4025,0,"['14', '16']","['14', '16']"
226,8,4025,1,"['26', '24']","['26', '24']"
227,8,4025,2,['26'],['26']
228,6,4025,3,"['14', '14']","['14', '14']"
229,7,4025,4,['24'],['24']
230,3,4025,5,['16'],['16']
231,6,4025,6,['14'],['14']
232,4,4025,7,"['24', '24']","['24', '24']"
233,7,4025,8,"['24', '24']","['24', '24']"
234,7,4026,0,['24'],['24']
235,5,4026,1,"['24', '24']","['24', '24']"
236,6,4026,2,['14'],['14']
237,8,4026,3,"['24', '26']","['24', '26']"
238,1,4026,4,"['16', '14']","['16', '14']"
239,6,4026,5,"['14', '14']","['14', '14']"
240,3,4026,6,['16'],['16']
241,2,4026,7,['26'],['26']
242,4,4026,8,"['24', '24']","['24', '24']"
243,2,4027,0,['26'],['26']
244,6,4027,1,"['14', '14']","['14', '14']"
245,5,4027,2,"['24', '24']","['24', '24']"
246,8,4027,3,"['24', '26']","['24', '26']"
247,3,4027,4,['16'],['16']
248,4,4027,5,"['24', '24']","['24', '24']"
249,1,4027,6,"['16', '14']","['16', '14']"
250,7,4027,7,['24'],['24']
251,6,4027,8,['14'],['14']
252,6,4028,0,"['14', '14']","['14', '14']"
253,6,4028,1,['14'],['14']
254,1,4028,2,"['14', '16']","['14', '16']"
255,7,4028,3,['24'],['24']
256,4,4028,4,"['24', '24']","['24', '24']"
257,8,4028,5,['26'],['26']
258,3,4028,6,['16'],['16']
259,5,4028,7,"['24', '24']","['24', '24']"
260,8,4028,8,"['24', '26']","['24', '26']"
261,1,4029,0,"['16', '14']","['16', '14']"
262,5,4029,1,"['24', '24']","['24', '24']"
263,6,4029,2,['14'],['14']
264,3,4029,3,['16'],['16']
265,6,4029,4,"['14', '14']","['14', '14']"
266,8,4029,5,"['24', '26']","['24', '26']"
267,7,4029,6,['24'],['24']
268,2,4029,7,['26'],['26']
269,4,4029,8,"['24', '24']","['24', '24']"
270,7,4030,0,['24'],['24']
271,6,4030,1,['14'],['14']
272,8,4030,2,"['26', '24']","['26', '24']"
273,1,4030,3,"['16', '14']","['16', '14']"
274,3,4030,4,['16'],['16']
275,8,4030,5,['26'],['26']
276,6,4030,6,"['14', '14']","['14', '14']"
277,4,4030,7,"['24', '24']","['24', '24']"
278,5,4030,8,"['24', '24']","['24', '24']"
279,6,4031,0,"['14', '14']","['14', '14']"
280,5,4031,1,"['24', '24']","['24', '24']"
281,3,4031,2,['16'],['16']
282,1,4031,3,"['14', '16']","['14', '16']"
283,4,4031,4,"['24', '24']","['24', '24']"
284,8,4031,5,['26'],['26']
285,7,4031,6,['24'],['24']
286,8,4031,7,"['26', '24']","['26', '24']"
287,6,4031,8,['14'],['14']
288,6,4032,0,['14'],['14']
289,8,4032,1,"['26', '24']","['26', '24']"
290,2,4032,2,['26'],['26']
291,1,4032,3,"['14', '16']","['14', '16']"
292,3,4032,4,['16'],['16']
293,6,4032,5,"['14', '14']","['14', '14']"
294,7,4032,6,['24'],['24']
295,4,4032,7,"['24', '24']","['24', '24']"
296,5,4032,8,"['24', '24']","['24', '24']"
297,3,4033,0,['16'],['16']
298,6,4033,1,"['14', '14']","['14', '14']"
299,2,4033,2,['26'],['26']
300,4,4033,3,"['24', '24']","['24', '24']"
301,6,4033,4,['24'],['24']
302,8,4033,5,"['24', '26']","['24', '26']"
303,7,4033,6,['14'],['14']
304,1,4033,7,"['14', '16']","['14', '16']"
305,5,4033,8,"['24', '24']","['24', '24']"
306,6,4034,0,['14'],['14']
307,2,4034,1,['26'],['26']
308,6,4034,2,"['14', '14']","['14', '14']"
309,7,4034,3,['24'],['24']
310,4,4034,4,"['24', '24']","['24', '24']"
311,5,4034,5,"['24', '24']","['24', '24']"
312,1,4034,6,"['14', '16']","['14', '16']"
313,8,4034,7,"['26', '24']","['26', '24']"
314,3,4034,8,['16'],['16']
315,7,4035,0,['24'],['24']
316,2,4035,1,['26'],['26']
317,6,4035,2,['14'],['14']
318,1,4035,3,"['16', '14']","['16', '14']"
319,3,4035,4,['16'],['16']
320,4,4035,5,"['24', '24']","['24', '24']"
321,5,4035,6,"['24', '24']","['24', '24']"
322,8,4035,7,"['24', '26']","['24', '26']"
323,7,4035,8,"['14', '14']","['14', '14']"
324,4,4036,0,"['24', '24']","['24', '24']"
325,1,4036,1,"['16', '14']","['16', '14']"
326,6,4036,2,"['14', '14']","['14', '14']"
327,8,4036,3,['26'],['26']
328,6,4036,4,['14'],['14']
329,8,4036,5,"['26', '24']","['26', '24']"
330,3,4036,6,['16'],['16']
331,5,4036,7,"['24', '24']","['24', '24']"
332,7,4036,8,['24'],['24']
333,7,4037,0,['24'],['24']
334,6,4037,1,['14'],['14']
335,2,4037,2,['16'],['16']
336,5,4037,3,"['24', '24']","['24', '24']"
337,1,4037,4,"['14', '16']","['14', '16']"
338,8,4037,5,['26'],['26']
339,4,4037,6,"['24', '24']","['24', '24']"
340,8,4037,7,"['26', '24']","['26', '24']"
341,6,4037,8,"['14', '14']","['14', '14']"
342,6,4038,0,"['14', '14']","['14', '14']"
343,3,4038,1,['16'],['16']
344,8,4038,2,"['24', '26']","['24', '26']"
345,2,4038,3,['26'],['26']
346,4,4038,4,"['24', '24']","['24', '24']"
347,1,4038,5,"['14', '16']","['14', '16']"
348,5,4038,6,"['24', '24']","['24', '24']"
349,7,4038,7,['14'],['14']
350,7,4038,8,['24'],['24']
351,5,4039,0,"['24', '24']","['24', '24']"
352,2,4039,1,['16'],['16']
353,6,4039,2,['14'],['14']
354,4,4039,3,"['24', '24']","['24', '24']"
355,1,4039,4,"['16', '14']","['16', '14']"
356,8,4039,5,['26'],['26']
357,6,4039,6,"['14', '14']","['14', '14']"
358,7,4039,7,['24'],['24']
359,8,4039,8,"['26', '24']","['26', '24']"
360,5,4040,0,"['24', '24']","['24', '24']"
361,1,4040,1,"['14', '16']","['14', '16']"
362,3,4040,2,['16'],['16']
363,4,4040,3,"['14', '14']","['14', '14']"
364,8,4040,4,['26'],['26']
365,7,4040,5,"['24', '24']","['24', '24']"
366,6,4040,6,['14'],['14']
367,8,4040,7,"['24', '26']","['24', '26']"
368,7,4040,8,['24'],['24']
369,1,4041,0,"['16', '14']","['16', '14']"
370,6,4041,1,"['14', '14']","['14', '14']"
371,3,4041,2,['16'],['16']
372,4,4041,3,"['24', '24']","['24', '24']"
373,8,4041,4,"['24', '26']","['24', '26']"
374,6,4041,5,['14'],['14']
375,5,4041,6,"['24', '24']","['24', '24']"
